,Common Name ,,Scientific Name ,,Family ,Genus , Species 
1,Balsam Fir ,,Abies balsamea ,,Pinaceae,Abies,Abies balsamea
2,Abietinella Moss,,Abientinella abienta ,,-,-,-
3,Asian Copperleaf ,,Acalypha austalis ,,Euphorbiaceae,Acalypha,Acalypha australis
4,-,,Acalypha burquezii ,,Euphorbiaceae,Acalypha,Acalypha burquezii
5,Common Threeseed Mercury ,,Acalypha rhomboidea ,,Euphorbiaceae,Acalypha,Acalypha rhomboidea 
6,Virginia Threeseed Mercury ,,Acalypha virginica ,,Euphorbiaceae,Acalypha,Acalypha virginica 
7,Japanese Maple,,Acer palmatum ,,Sapindaceae, Acer ,Acer palmatum 
8,Amur Maple ,,Acer ginnala ,,Aceraceae,Acer,Acer ginnala 
9,Boxelder ,,Acer negundo,,Sapindaceae,Acer,Acer negundo
10,Black Maple ,,Acer nigrum ,,Sapindaceae,Acer,Acer nigrum 
11,Striped Maple ,,Acer pensylvanicum ,,Sapindaceae,Acer,Acer pensylvanicum 
12,Norway maple  ,,Acer platanoides ,,Sapindaceae,Acer,Acer platanoides 
13,Sycamore Maple ,,Acer pseudoplatanus ,,Sapindaceae,Acer,Acer pseudoplatanus 
14,Red Maple ,,Acer rubrum ,,Sapindaceae,Acer,Acer rubrum 
15,Silver Maple ,,Acer saccharinum ,,Sapindaceae,Acer,Acer saccharinum 
16,Sugar Maple ,,Acer saccharum ,,Sapindaceae,,Acer saccharum 
17,Calamus ,,Acorus calamus ,,Acoraceae,Acorus,Acorus calamus 
18,-,,Actaea alba,,Ranunculaceae,Actaea,Actaea alba
19,White Baneberry ,,Actaea pachypoda ,,Ranunculaceae,Actaea,Actaea pachypoda 
20,Red Baneberry ,,Actaea rubra ,,Ranunculaceae,Actaea,Actaea rubra 
21,California Maidenhair ,,Adiantum jordanii ,,Pteridaceae,Adiantum,Adiantum jordanii 
22,Northern Maidenhair ,,Adiantum pedatum ,,Pteridaceae,Adiantum,Adiantum pedatum 
23,Allegheny Vine ,,Adlumia fungosa ,,Adiantum,Adlumia,Adlumia fungosa 
24,Blooddrops ,,Adonis annua ,,Ranunculaceae,Adonis,Adonis annua 
25,Summer Pheasant's Eye ,,Adonis aestivalis ,,Ranunculaceae,Adonis (,Adonis aestivalis 
26,Bishop's Goutweed ,,Aegopodium podagraria ,,Apiaceae,Aegopodium,Aegopodium podagraria 
27,Fool's Parsley ,,Aethusa cynapium ,,Apiaceae,Aethusa,Aethusa cynapium 
28,Sandplain False Foxglove ,,Agalinis Acuta ,,Orobanchaceae,Agalinis,Agalinis Acuta 
29,Tenlobe False Foxglove ,,Agalinis obtusifolia ,,Orobanchaceae,Agalinis,Agalinis obtusifolia 
30,Purple False Foxglove ,,Agalinis purpurea,,Orobanchaceae,Agalinis,Agalinis purpurea
31,Slenderleaf False Foxglove ,,Agalinis tenuifolia ,,Orobanchaceae,Agalinis,Agalinis tenuifolia 
32,Purple Giant Hyssop ,,Agastache scrophularilifolia ,,Lamiaceae,Agastache,Agastache scrophularilifolia 
33,-,,Ageratina chiriquensis ,,Asteraceae,Ageratina,Ageratina chiriquensis 
34,Tall Hairy Agrimony ,,Agrimonia gryposepala ,,Rosaceae,Agrimonia,Agrimonia gryposepala 
35,Soft Agrimony ,,Agrimonia pubescens ,,Rosaceae,Agrimonia,Agrimonia pubescens 
36,Roadside Agrimony ,,Agrimonia stiata,,Rosaceae,Agrimonia,Agrimonia stiata
37,-,,Agropyton tracycaulon ,,Poaceae,Elymus,Agropyton tracycaulon 
38,Common Corncockle ,,Agrostemma githago,,Caryophyllaceae,Agrostemma,Agrostemma githago
39,Colonial Bentgrass ,,Agrostis capillaris ,,Poaceae,Agrostis,Agrostis capillaris 
40,Redtop,,Agrostis gigantea ,,Poaceae,Agrostis,Agrostis gigantea 
41,Upland Bentgrass,,Agrimonia striata ,,Rosaceae,Agrimonia,Agrimonia striata 
42,Creeping Bentgrass ,,Agrostis stolonifera ,,Poaceae,Agrostis,Agrostis stolonifera 
43,Tree of Heaven ,,Ailanthus altissima ,,Simaroubaceae,Ailanthus,Ailanthus altissima 
44,Silver Hairgrass,,Aira caryophyllea ,,Poaceae,Aira,Aira caryophyllea 
45,Common Bugle,,Ajuga reptans ,,Lamiaceae,Ajuga,Ajuga reptans 
46,Chocolate Vine ,,Akebia quinata,,Lardizabalaceae,Akebia,Akebia quinata
47,Silktree,,Albiza jubrissin ,,-,-,Albiza jubrissin 
48,- ,,Alisma plantago ,,Alismataceae,Alisma,Alisma plantago 
49,Narrowleaf Water Plantain ,,Alisma gramineum ,,Alismataceae,Alisma,Alisma gramineum 
50,European Water Plantain ,,Alisma plantago-aquatica ,,Alismataceae,Alisma,Alisma plantago-aquatica 
